logic,type,inputs,coverage,escape_risk,specificity,leak_burden,leak_tissues,n_crit_leak,protease,prot_spec,prot_cov,crit_leak_before,crit_rescued,crit_still_leak,rescue_frac,safety,complexity_penalty,final_score
(CDCP1 OR EPCAM) AND ADAM12,OR_AND_protease,3,0.48598092794418335,0.5140190720558167,,,,,ADAM12,0.6592,90.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.9150596967174421,0.1,0.7847
(CDCP1 OR EPCAM) AND MMP11,OR_AND_protease,3,0.48598092794418335,0.5140190720558167,,,,,MMP11,0.6968,97.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.9150596967174421,0.1,0.7847
(SLC37A1 OR EPCAM) AND MMP11,OR_AND_protease,3,0.4817035496234894,0.518296480178833,,,,,MMP11,0.6968,97.1,Brain_Cerebellum;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Brain_Cerebellum;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.9208107615198685,0.1,0.783
(SLC37A1 OR EPCAM) AND ADAM12,OR_AND_protease,3,0.4817035496234894,0.518296480178833,,,,,ADAM12,0.6592,90.1,Brain_Cerebellum;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Brain_Cerebellum;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.9208107615198685,0.1,0.783
(SLC37A1 OR EPCAM) AND FAP,OR_AND_protease,3,0.4817035496234894,0.518296480178833,,,,,FAP,0.4078,77.2,Brain_Cerebellum;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Brain_Cerebellum;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.9208107615198685,0.1,0.783
(IGSF3 OR EPCAM) AND FAP,OR_AND_protease,3,0.4819082021713257,0.5180917978286743,,,,,FAP,0.4078,77.2,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.9182694068153404,0.1,0.782
(IGSF3 OR EPCAM) AND MMP11,OR_AND_protease,3,0.4819082021713257,0.5180917978286743,,,,,MMP11,0.6968,97.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.9182694068153404,0.1,0.782
(IGSF3 OR EPCAM) AND ADAM12,OR_AND_protease,3,0.4819082021713257,0.5180917978286743,,,,,ADAM12,0.6592,90.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.9182694068153404,0.1,0.782
(PRLR OR EPCAM) AND ADAM12,OR_AND_protease,3,0.48753634095191956,0.5124636888504028,,,,,ADAM12,0.6592,90.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.8933252625012919,0.1,0.7765
(PRLR OR EPCAM) AND FAP,OR_AND_protease,3,0.48753634095191956,0.5124636888504028,,,,,FAP,0.4078,77.2,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.8933252625012919,0.1,0.7765
