logic,type,inputs,coverage,escape_risk,specificity,leak_burden,leak_tissues,n_crit_leak,protease,prot_spec,prot_cov,crit_leak_before,crit_rescued,crit_still_leak,rescue_frac,safety,complexity_penalty,final_score
PTK7 OR TSPAN14,OR,2,0.2932339906692505,0.7067660093307495,,154.4913261101977,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Artery_Coronary;Bladder;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cervix_Ectocervix;Cervix_Endocervix;Colon_Transverse;Esophagus_Mucosa;Fallopian_Tube;Kidney_Medulla;Lung;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Pituitary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Spleen;Testis;Thyroid;Uterus;Vagina;Whole_Blood,3.0,,,,,,,,0.4439597950535924,0.05,0.4271
DSG2 AND NETO2,AND,2,0.052945028990507126,0.9470549821853638,,4.000633962070667,Cells_EBV-transformed_lymphocytes,0.0,,,,,,,,0.9856010470995724,0.05,0.4269
IGSF3 OR EFNA5,OR,2,0.14123451709747314,0.8587654829025269,,59.49301380911406,Artery_Aorta;Brain_Frontal_Cortex_BA9;Esophagus_Mucosa;Kidney_Cortex;Kidney_Medulla;Minor_Salivary_Gland;Pituitary;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Thyroid;Vagina,3.0,,,,,,,,0.7858746609003594,0.05,0.4267
DSG2 AND EPHB3,AND,2,0.0924440249800682,0.9075559973716736,,29.055565790057084,Colon_Transverse;Esophagus_Mucosa;Minor_Salivary_Gland;Ovary;Prostate;Skin_Sun_Exposed_Lower_leg;Stomach,0.0,,,,,,,,0.8954241434550626,0.05,0.4265
CDH3 AND BACE2,AND,2,0.10478490591049194,0.8952150940895081,,36.896911650984464,Cervix_Ectocervix;Cervix_Endocervix;Esophagus_Mucosa;Fallopian_Tube;Minor_Salivary_Gland;Prostate;Skin_Sun_Exposed_Lower_leg;Uterus;Vagina,0.0,,,,,,,,0.8672018239932199,0.05,0.4263
SLC33A1 OR SLC37A1,OR,2,0.1965535581111908,0.8034464120864868,,94.54800919838841,Artery_Aorta;Artery_Coronary;Brain_Cerebellum;Cells_Cultured_fibroblasts;Cells_EBV-transformed_lymphocytes;Cervix_Ectocervix;Cervix_Endocervix;Colon_Transverse;Esophagus_Mucosa;Fallopian_Tube;Lung;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Pancreas;Pituitary;Prostate;Small_Intestine_Terminal_Ileum;Testis;Thyroid;Uterus,3.0,,,,,,,,0.6597058505767042,0.05,0.426
SLC33A1 OR MET,OR,2,0.19450697302818298,0.8054929971694946,,93.45015150283498,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Artery_Aorta;Artery_Coronary;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cells_EBV-transformed_lymphocytes;Cervix_Ectocervix;Cervix_Endocervix;Fallopian_Tube;Kidney_Cortex;Kidney_Medulla;Liver;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Pancreas;Pituitary;Thyroid;Uterus,4.0,,,,,,,,0.663657224633796,0.05,0.4257
OPN3 AND EFNA4,AND,2,0.04479964077472687,0.9552003741264343,,0.0,,0.0,,,,,,,,1.0,0.05,0.4252
GPR180 OR TSPAN14,OR,2,0.24718594551086426,0.7528140544891357,,126.99423310500055,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Artery_Coronary;Bladder;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cervix_Ectocervix;Cervix_Endocervix;Colon_Transverse;Esophagus_Mucosa;Fallopian_Tube;Kidney_Medulla;Lung;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Spleen;Thyroid;Uterus;Vagina;Whole_Blood,3.0,,,,,,,,0.5429264465478928,0.05,0.4249
EFNA5 OR LDLRAD4,OR,2,0.1473333090543747,0.8526666760444641,,64.47795090249828,Artery_Aorta;Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Brain_Frontal_Cortex_BA9;Brain_Putamen_basal_ganglia;Brain_Spinal_cord_cervical_c-1;Minor_Salivary_Gland;Pituitary;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Vagina,5.0,,,,,,,,0.7679330358729893,0.05,0.4248
PRLR AND PTK7,AND,2,0.06948139518499374,0.930518627166748,,15.770305636630157,Cervix_Ectocervix;Cervix_Endocervix;Uterus,0.0,,,,,,,,0.9432400238961992,0.05,0.4247
EFNA5 AND EPCAM,AND,2,0.0634644478559494,0.9365355372428894,,11.973932888148173,Minor_Salivary_Gland;Pituitary;Skin_Sun_Exposed_Lower_leg,0.0,,,,,,,,0.956903806415699,0.05,0.4247
OPN3 AND CD109,AND,2,0.05153288692235947,0.9484671354293823,,4.52205183015239,Cells_Cultured_fibroblasts,0.0,,,,,,,,0.9837243767030476,0.05,0.4247
ADAM12 AND TACSTD2,AND,2,0.044349391013383865,0.9556506276130676,,0.0,,0.0,,,,,,,,1.0,0.05,0.4247
ATP6V0A2 AND TACSTD2,AND,2,0.044287994503974915,0.9557120203971863,,0.0,,0.0,,,,,,,,1.0,0.05,0.4246
CDH3 OR FAT1,OR,2,0.2860914468765259,0.7139085531234741,,151.6073443042916,Adipose_Subcutaneous;Artery_Aorta;Artery_Coronary;Artery_Tibial;Bladder;Brain_Cerebellum;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cervix_Ectocervix;Cervix_Endocervix;Colon_Sigmoid;Colon_Transverse;Esophagus_Gastroesophageal_Junction;Esophagus_Mucosa;Esophagus_Muscularis;Fallopian_Tube;Kidney_Cortex;Kidney_Medulla;Lung;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Spleen;Thyroid;Uterus;Vagina,4.0,,,,,,,,0.45433972947964485,0.05,0.4245
ATP6V0A2 AND TMEM106B,AND,2,0.04389914497733116,0.9561008810997009,,0.0,,0.0,,,,,,,,1.0,0.05,0.4242
FAT1 AND NETO2,AND,2,0.04383774846792221,0.9561622738838196,,0.0,,0.0,,,,,,,,1.0,0.05,0.4242
PLAUR AND EPCAM,AND,2,0.06835577636957169,0.9316442012786865,,15.481956261082914,Lung;Minor_Salivary_Gland,1.0,,,,,,,,0.9442778416812643,0.05,0.424
IGSF3 AND TMEM106B,AND,2,0.04924071952700615,0.9507592916488647,,3.6092009529339064,Thyroid,0.0,,,,,,,,0.9870098801784467,0.05,0.4238
SLC33A1 OR DCBLD1,OR,2,0.1670827865600586,0.8329172134399414,,77.48367775350658,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Artery_Aorta;Artery_Coronary;Cells_Cultured_fibroblasts;Cells_EBV-transformed_lymphocytes;Cervix_Ectocervix;Cervix_Endocervix;Fallopian_Tube;Lung;Nerve_Tibial;Ovary;Pancreas;Pituitary;Small_Intestine_Terminal_Ileum;Testis;Thyroid;Uterus,2.0,,,,,,,,0.721123242690469,0.05,0.4238
PRLR AND SLC37A1,AND,2,0.04351029545068741,0.9564896821975708,,0.0,,0.0,,,,,,,,1.0,0.05,0.4238
DSC2 AND NETO2,AND,2,0.04324423894286156,0.9567557573318481,,0.0,,0.0,,,,,,,,1.0,0.05,0.4236
ATP6V0A2 AND SLC26A2,AND,2,0.04322377219796181,0.9567762017250061,,0.0,,0.0,,,,,,,,1.0,0.05,0.4236
CDH3 OR DCBLD1,OR,2,0.18715974688529968,0.8128402233123779,,90.20112579407122,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Cells_Cultured_fibroblasts;Cervix_Ectocervix;Cervix_Endocervix;Esophagus_Mucosa;Fallopian_Tube;Lung;Minor_Salivary_Gland;Ovary;Pituitary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Spleen;Testis;Thyroid;Uterus;Vagina,1.0,,,,,,,,0.6753510133173659,0.05,0.4236
EPHB3 OR CD109,OR,2,0.2448733150959015,0.7551267147064209,,126.42450508185016,Adipose_Subcutaneous;Artery_Aorta;Artery_Tibial;Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cervix_Ectocervix;Cervix_Endocervix;Colon_Sigmoid;Colon_Transverse;Esophagus_Mucosa;Fallopian_Tube;Lung;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Stomach;Uterus;Vagina,3.0,,,,,,,,0.5449769932985258,0.05,0.4235
EPHB3 OR SLC33A1,OR,2,0.23492693901062012,0.7650730609893799,,120.44241760053234,Artery_Aorta;Artery_Coronary;Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Cells_Cultured_fibroblasts;Cells_EBV-transformed_lymphocytes;Cervix_Ectocervix;Cervix_Endocervix;Colon_Transverse;Esophagus_Mucosa;Fallopian_Tube;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Pancreas;Pituitary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Stomach;Thyroid;Uterus;Vagina,3.0,,,,,,,,0.5665075298850697,0.05,0.4231
OPN3 AND PTPRK,AND,2,0.049977488815784454,0.9500225186347961,,4.52205183015239,Cells_Cultured_fibroblasts,0.0,,,,,,,,0.9837243767030476,0.05,0.4231
ADAM12 AND EGFR,AND,2,0.05083705112338066,0.9491629600524902,,5.228905102673233,Cells_Cultured_fibroblasts,0.0,,,,,,,,0.9811802931715282,0.05,0.4228
DSC2 AND LDLRAD4,AND,2,0.04250746965408325,0.9574925303459167,,0.0,,0.0,,,,,,,,1.0,0.05,0.4228
ADAM12 AND TMEM106B,AND,2,0.04844255372881889,0.951557457447052,,3.8066043951487987,Cells_Cultured_fibroblasts,0.0,,,,,,,,0.9862993920673666,0.05,0.4227
ADAM12 AND DSC2,AND,2,0.04234374314546585,0.9576562643051147,,0.0,,0.0,,,,,,,,1.0,0.05,0.4227
LMBR1 AND VTCN1,AND,2,0.04226187989115715,0.9577381014823914,,0.0,,0.0,,,,,,,,1.0,0.05,0.4226
EPHB3 OR EFNA5,OR,2,0.2116573303937912,0.7883426547050476,,106.28342558381267,Artery_Aorta;Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Brain_Frontal_Cortex_BA9;Cervix_Ectocervix;Cervix_Endocervix;Colon_Transverse;Esophagus_Mucosa;Fallopian_Tube;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Pituitary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Stomach;Uterus;Vagina,3.0,,,,,,,,0.6174681179066628,0.05,0.4224
LRP6 OR TACSTD2,OR,2,0.37096309661865234,0.6290369033813477,,206.15793550221872,Adipose_Subcutaneous;Artery_Aorta;Artery_Coronary;Artery_Tibial;Bladder;Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cervix_Ectocervix;Cervix_Endocervix;Colon_Sigmoid;Esophagus_Gastroesophageal_Junction;Esophagus_Mucosa;Esophagus_Muscularis;Fallopian_Tube;Kidney_Cortex;Kidney_Medulla;Lung;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Pancreas;Pituitary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Thyroid;Uterus;Vagina,6.0,,,,,,,,0.25800299865239273,0.05,0.4223
ATP6V0A2 OR DCBLD1,OR,2,0.11964307725429535,0.8803569078445435,,48.69978009621022,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Cells_Cultured_fibroblasts;Cells_EBV-transformed_lymphocytes;Cervix_Ectocervix;Cervix_Endocervix;Lung;Pituitary;Small_Intestine_Terminal_Ileum;Testis;Thyroid,1.0,,,,,,,,0.8247213200420948,0.05,0.4222
ADAM12 AND VTCN1,AND,2,0.04189349710941315,0.958106517791748,,0.0,,0.0,,,,,,,,1.0,0.05,0.4222
OPN3 AND MET,AND,2,0.048851870000362396,0.9511481523513794,,4.4553139744843575,Cells_Cultured_fibroblasts,0.0,,,,,,,,0.9839645774436178,0.05,0.4221
SLC26A2 AND TSPAN14,AND,2,0.08601776510477066,0.9139822125434875,,27.688727742398285,Colon_Transverse;Esophagus_Mucosa;Lung;Minor_Salivary_Gland;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum,1.0,,,,,,,,0.9003436229319015,0.05,0.4221
GPR180 AND CDCP1,AND,2,0.041627440601587296,0.9583725333213806,,0.0,,0.0,,,,,,,,1.0,0.05,0.4219
EFNA4 OR SLC33A1,OR,2,0.20711390674114227,0.7928860783576965,,104.01733865317485,Adrenal_Gland;Artery_Aorta;Artery_Coronary;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cells_EBV-transformed_lymphocytes;Cervix_Ectocervix;Cervix_Endocervix;Colon_Transverse;Esophagus_Mucosa;Fallopian_Tube;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Pancreas;Pituitary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Spleen;Thyroid;Uterus;Vagina,1.0,,,,,,,,0.6256241449993388,0.05,0.4214
ADAM12 AND PRLR,AND,2,0.04103393107652664,0.958966076374054,,0.0,,0.0,,,,,,,,1.0,0.05,0.4213
FAT1 OR SLC33A1,OR,2,0.2841062545776367,0.7158937454223633,,152.38307442181593,Adipose_Subcutaneous;Artery_Aorta;Artery_Coronary;Artery_Tibial;Bladder;Brain_Cerebellum;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cells_EBV-transformed_lymphocytes;Cervix_Ectocervix;Cervix_Endocervix;Colon_Sigmoid;Colon_Transverse;Esophagus_Gastroesophageal_Junction;Esophagus_Muscularis;Fallopian_Tube;Kidney_Cortex;Kidney_Medulla;Lung;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Pancreas;Pituitary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Thyroid;Uterus;Vagina,5.0,,,,,,,,0.4515477466260336,0.05,0.4212
DSC2 AND ATP6V0A2,AND,2,0.04084974154829979,0.9591502547264099,,0.0,,0.0,,,,,,,,1.0,0.05,0.4211
SLC37A1 AND VTCN1,AND,2,0.04768531769514084,0.9523146748542786,,4.352709203282742,Minor_Salivary_Gland,0.0,,,,,,,,0.9843338692313439,0.05,0.421
OPN3 AND GPR180,AND,2,0.04645736888051033,0.9535426497459412,,3.7072254441837895,Cells_Cultured_fibroblasts,0.0,,,,,,,,0.9866570735867971,0.05,0.4208
IGSF3 OR MET,OR,2,0.15906020998954773,0.8409397602081299,,74.32126145662107,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Esophagus_Mucosa;Kidney_Cortex;Kidney_Medulla;Liver;Minor_Salivary_Gland;Nerve_Tibial;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Thyroid;Vagina,3.0,,,,,,,,0.7325053095683972,0.05,0.4208
DSG2 AND ATP6V0A2,AND,2,0.04672342538833618,0.9532765746116638,,3.9080292042958007,Cells_EBV-transformed_lymphocytes,0.0,,,,,,,,0.9859343471610621,0.05,0.4208
OPN3 AND SLC33A1,AND,2,0.04670295864343643,0.9532970190048218,,4.019373205684028,Cells_Cultured_fibroblasts,0.0,,,,,,,,0.9855336014175289,0.05,0.4206
DSC2 AND SLC37A1,AND,2,0.052699439227581024,0.9473005533218384,,7.835407508451558,Esophagus_Mucosa;Minor_Salivary_Gland,0.0,,,,,,,,0.9717990536651206,0.05,0.4205
EFNA4 AND VTCN1,AND,2,0.05359993502497673,0.9464000463485718,,8.38106059384538,Breast_Mammary_Tissue;Minor_Salivary_Gland,0.0,,,,,,,,0.9698351566550348,0.05,0.4205
CDH3 AND MUC1,AND,2,0.09571855515241623,0.9042814373970032,,34.803649907795176,Cervix_Ectocervix;Cervix_Endocervix;Esophagus_Mucosa;Fallopian_Tube;Minor_Salivary_Gland;Prostate;Uterus;Vagina,0.0,,,,,,,,0.8747358242377334,0.05,0.4205
OPN3 AND NETO2,AND,2,0.040153902024030685,0.9598460793495178,,0.0,,0.0,,,,,,,,1.0,0.05,0.4204
ATP6V0A2 AND FAT1,AND,2,0.039928779006004333,0.9600712060928345,,0.0,,0.0,,,,,,,,1.0,0.05,0.4202
ATP6V0A2 OR EFNA4,OR,2,0.16573205590248108,0.8342679738998413,,78.92903296141512,Adrenal_Gland;Breast_Mammary_Tissue;Cells_EBV-transformed_lymphocytes;Cervix_Ectocervix;Cervix_Endocervix;Colon_Transverse;Esophagus_Mucosa;Fallopian_Tube;Minor_Salivary_Gland;Ovary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Spleen;Thyroid;Uterus;Vagina,0.0,,,,,,,,0.7159211667794074,0.05,0.4201
CD109 OR DCBLD1,OR,2,0.17547377943992615,0.8245261907577515,,85.19846290972849,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Artery_Aorta;Artery_Tibial;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cervix_Ectocervix;Cervix_Endocervix;Colon_Sigmoid;Esophagus_Mucosa;Lung;Pituitary;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Testis;Thyroid;Uterus;Vagina,1.0,,,,,,,,0.6933564364406263,0.05,0.4198
EFNA4 OR CD109,OR,2,0.21065449714660645,0.7893455028533936,,107.23346092792832,Adipose_Subcutaneous;Adrenal_Gland;Artery_Aorta;Artery_Tibial;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cervix_Ectocervix;Cervix_Endocervix;Colon_Sigmoid;Colon_Transverse;Esophagus_Mucosa;Fallopian_Tube;Lung;Minor_Salivary_Gland;Ovary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Spleen;Thyroid;Uterus;Vagina,1.0,,,,,,,,0.6140487812956765,0.05,0.4198
EPHB3 OR LDLRAD4,OR,2,0.21648725867271423,0.7835127115249634,,110.88186274541368,Artery_Aorta;Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Brain_Putamen_basal_ganglia;Brain_Spinal_cord_cervical_c-1;Cervix_Ectocervix;Cervix_Endocervix;Colon_Transverse;Esophagus_Mucosa;Fallopian_Tube;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Stomach;Uterus;Vagina,4.0,,,,,,,,0.6009175709850447,0.05,0.4198
TMEM106B AND CD109,AND,2,0.0703204944729805,0.9296795129776001,,19.348985323085547,Artery_Aorta;Artery_Tibial;Cells_Cultured_fibroblasts;Cervix_Ectocervix;Uterus,0.0,,,,,,,,0.9303597552339001,0.05,0.4197
EFNA5 AND MUC1,AND,2,0.058388933539390564,0.9416110515594482,,11.855260061857347,Artery_Aorta;Minor_Salivary_Gland;Vagina,0.0,,,,,,,,0.9573309298297686,0.05,0.4197
CD109 OR SLC37A1,OR,2,0.20598828792572021,0.7940117120742798,,104.3909322117044,Adipose_Subcutaneous;Artery_Aorta;Artery_Tibial;Brain_Cerebellum;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cells_EBV-transformed_lymphocytes;Cervix_Ectocervix;Colon_Sigmoid;Colon_Transverse;Esophagus_Mucosa;Lung;Minor_Salivary_Gland;Pituitary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Testis;Thyroid;Uterus;Vagina,2.0,,,,,,,,0.6242795190965017,0.05,0.4197
SLC26A2 AND NETO2,AND,2,0.05110310763120651,0.9488968849182129,,7.350686804719823,Brain_Cerebellar_Hemisphere,1.0,,,,,,,,0.9735436448096909,0.05,0.4196
DSC2 AND EFNA4,AND,2,0.061356473714113235,0.9386435151100159,,13.816679266201024,Esophagus_Mucosa;Minor_Salivary_Gland;Vagina,0.0,,,,,,,,0.9502714530045705,0.05,0.4196
PTK7 AND LDLRAD4,AND,2,0.03919200971722603,0.9608079791069031,,0.0,,0.0,,,,,,,,1.0,0.05,0.4195
NETO2 OR MET,OR,2,0.1532479226589203,0.8467520475387573,,71.57789067655222,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Brain_Cerebellar_Hemisphere;Brain_Nucleus_accumbens_basal_ganglia;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cells_EBV-transformed_lymphocytes;Kidney_Cortex;Kidney_Medulla;Liver;Minor_Salivary_Gland;Nerve_Tibial;Thyroid,5.0,,,,,,,,0.742379161319177,0.05,0.4193
TMEM106B AND SLC37A1,AND,2,0.05662887170910835,0.9433711171150208,,11.005871029899406,Brain_Cerebellum;Thyroid,1.0,,,,,,,,0.9603880234757397,0.05,0.4193
PTK7 OR SLC33A1,OR,2,0.2674470841884613,0.7325528860092163,,143.12612589407752,Adipose_Visceral_Omentum;Artery_Aorta;Artery_Coronary;Bladder;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cells_EBV-transformed_lymphocytes;Cervix_Ectocervix;Cervix_Endocervix;Esophagus_Mucosa;Fallopian_Tube;Kidney_Medulla;Lung;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Pancreas;Pituitary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Spleen;Testis;Thyroid;Uterus;Vagina,3.0,,,,,,,,0.48486505761131515,0.05,0.4193
OPN3 AND SLC37A1,AND,2,0.038864556699991226,0.9611354470252991,,0.0,,0.0,,,,,,,,1.0,0.05,0.4191
ATP6V0A2 AND EGFR,AND,2,0.038864556699991226,0.9611354470252991,,0.0,,0.0,,,,,,,,1.0,0.05,0.4191
EPHB3 OR LMBR1,OR,2,0.22158324718475342,0.7784167528152466,,114.6042146366066,Adrenal_Gland;Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Cells_Cultured_fibroblasts;Cells_EBV-transformed_lymphocytes;Cervix_Ectocervix;Cervix_Endocervix;Colon_Transverse;Esophagus_Mucosa;Fallopian_Tube;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Pituitary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Stomach;Testis;Thyroid;Uterus;Vagina,2.0,,,,,,,,0.5875202019509723,0.05,0.419
EPHB3 OR MSLN,OR,2,0.21886128187179565,0.7811387181282043,,112.86806236632029,Adipose_Visceral_Omentum;Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Cervix_Ectocervix;Cervix_Endocervix;Colon_Transverse;Esophagus_Mucosa;Fallopian_Tube;Lung;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Stomach;Uterus;Vagina,3.0,,,,,,,,0.5937689052827022,0.05,0.419
TMEM106B AND MET,AND,2,0.05675166845321655,0.9432483315467834,,11.357757079336343,Cells_Cultured_fibroblasts;Nerve_Tibial;Thyroid,0.0,,,,,,,,0.9591215265404546,0.05,0.4189
TSPAN14 AND NETO2,AND,2,0.038618966937065125,0.9613810181617737,,0.0,,0.0,,,,,,,,1.0,0.05,0.4189
ADAM12 AND FAT1,AND,2,0.046928081661462784,0.9530718922615051,,5.228905102673233,Cells_Cultured_fibroblasts,0.0,,,,,,,,0.9811802931715282,0.05,0.4188
IGSF3 OR SLC33A1,OR,2,0.18718022108078003,0.81281977891922,,93.11974482015383,Artery_Aorta;Artery_Coronary;Cells_Cultured_fibroblasts;Cells_EBV-transformed_lymphocytes;Cervix_Ectocervix;Cervix_Endocervix;Esophagus_Mucosa;Fallopian_Tube;Kidney_Cortex;Kidney_Medulla;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Pancreas;Pituitary;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Thyroid;Uterus;Vagina,3.0,,,,,,,,0.6648464137240795,0.05,0.4188
CDCP1 AND MET,AND,2,0.05098031088709831,0.9490196704864502,,7.835921350565403,Minor_Salivary_Gland;Thyroid,0.0,,,,,,,,0.9717972042611348,0.05,0.4187
MET AND VTCN1,AND,2,0.051307763904333115,0.948692262172699,,8.115393624752318,Breast_Mammary_Tissue;Minor_Salivary_Gland,0.0,,,,,,,,0.9707913366533645,0.05,0.4186
LDLRAD4 AND VTCN1,AND,2,0.03829151391983032,0.9617084860801697,,0.0,,0.0,,,,,,,,1.0,0.05,0.4185
EFNA4,single,1,0.10873480141162872,0.8912652134895325,0.28385019766655323,75.02100375711933,Adrenal_Gland;Breast_Mammary_Tissue;Cervix_Ectocervix;Cervix_Endocervix;Colon_Transverse;Esophagus_Mucosa;Fallopian_Tube;Minor_Salivary_Gland;Ovary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Spleen;Thyroid;Uterus;Vagina,0.0,,,,,,,,0.7299868196183453,0.0,0.4185
TMEM106B OR EGFR,OR,2,0.3399369418621063,0.6600630283355713,,189.22594320481952,Adipose_Subcutaneous;Adipose_Visceral_Omentum;Adrenal_Gland;Artery_Aorta;Artery_Coronary;Artery_Tibial;Bladder;Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Brain_Spinal_cord_cervical_c-1;Breast_Mammary_Tissue;Cells_Cultured_fibroblasts;Cervix_Ectocervix;Cervix_Endocervix;Colon_Sigmoid;Colon_Transverse;Esophagus_Gastroesophageal_Junction;Esophagus_Mucosa;Esophagus_Muscularis;Fallopian_Tube;Kidney_Medulla;Liver;Lung;Minor_Salivary_Gland;Nerve_Tibial;Ovary;Prostate;Skin_Not_Sun_Exposed_Suprapubic;Skin_Sun_Exposed_Lower_leg;Small_Intestine_Terminal_Ileum;Stomach;Thyroid;Uterus;Vagina,6.0,,,,,,,,0.31894407996903107,0.05,0.4182
OPN3 AND EFNA5,AND,2,0.03780033439397812,0.9621996879577637,,0.0,,0.0,,,,,,,,1.0,0.05,0.4181
DSG2 AND LMBR1,AND,2,0.05548278987407684,0.944517195224762,,11.32160165733087,Cells_EBV-transformed_lymphocytes;Ovary;Thyroid,0.0,,,,,,,,0.9592516559708117,0.05,0.4177
CDH3 AND GPR180,AND,2,0.037391018122434616,0.9626089930534363,,0.0,,0.0,,,,,,,,1.0,0.05,0.4176
DSC2 AND PTPRK,AND,2,0.05083705112338066,0.9491629600524902,,8.453915583947072,Minor_Salivary_Gland;Vagina,0.0,,,,,,,,0.9695729393212369,0.05,0.4176
PRLR AND LDLRAD4,AND,2,0.037268225103616714,0.9627317786216736,,0.0,,0.0,,,,,,,,1.0,0.05,0.4175
PTK7 AND NETO2,AND,2,0.037288691848516464,0.9627113342285156,,0.0,,0.0,,,,,,,,1.0,0.05,0.4175
NETO2 AND ERBB2,AND,2,0.037247758358716965,0.9627522230148315,,0.0,,0.0,,,,,,,,1.0,0.05,0.4175
PRLR AND NETO2,AND,2,0.037227291613817215,0.9627727270126343,,0.0,,0.0,,,,,,,,1.0,0.05,0.4175
