,Adipose Tissue,Adrenal Gland,Bladder,Blood,Blood Vessel,Bone Marrow,Brain,Cervix Uteri,Colon,Esophagus,Fallopian Tube,Heart,Kidney,Liver,Lung,Muscle,Nerve,Ovary,Pancreas,Pituitary,Prostate,Salivary Gland,Skin,Small Intestine,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Breast,TNBC
GPR180,2.539301965077579,1.3399914139149067,1.9200565657977318,0.1300328094396161,2.0545211915086683,1.7900088407105947,1.9799603442472449,2.170577389388211,1.620017875479411,1.419993544000816,2.260061134249184,0.8000143535812515,0.8599926439788844,1.7000198776065194,1.6250333675500896,0.7949935797466419,2.3749496203065505,1.8500207724263773,1.1100317151359533,3.799001531499544,1.7850292213231942,2.000386774925161,1.2100009526937137,1.3849828168508656,1.4350030749808442,1.05000173245595,1.0599818672277885,2.4991246051704183,2.2702942829930155,1.579959050553961,2.210461306640538,3.6492619541738076
TMEM106B,9.78012222153655,24.46153764843954,15.379174854220183,2.2452278003309387,12.51759151508109,13.013095307039233,4.961269190861556,16.03568827431283,10.170783671258931,9.2525054712423,11.776814897345426,5.6794294341737075,6.619159779848115,6.7988693068563,8.644821908881507,6.869974089738514,10.900921135129991,11.558445960272973,4.409676652275651,11.760498691112328,9.875503227745703,12.133140362995537,10.291351867916795,9.585529743891069,6.649703793251824,6.204403571510695,8.72911101643948,13.937467074276102,15.352591302880578,11.703569765634612,9.310412275217091,17.813745891658982
ATP6V0A2,9.479742167532658,5.049794987740885,8.869405148824555,2.715035179205956,7.875201859717403,33.23102188066731,3.264948781920813,9.03033583625966,6.858014883936841,6.542216468462248,9.95799388305736,3.170136546441138,2.7546651690062154,2.4699227474741496,11.285295215572328,4.514861958540027,11.679258891143405,6.910512140510576,3.3509485386717945,7.041072108505206,7.875201859717403,9.06835530222738,12.362368794367798,9.096846161313598,9.249544001293831,7.109741449332562,10.273526471915407,8.408383272701654,10.062140210211226,8.218211515031712,9.40773000232772,8.121928806955436
SLC26A2,3.838717044155632,14.514296795730747,4.930409301855226,0.26993149171119507,3.1745387751185175,2.7952670850093715,1.0950129683712722,3.849585890912446,4.159750732922479,2.710328653600002,3.990690875996203,0.9900295632640791,1.075008197916858,0.35998229888062405,6.490276302465464,1.369972848999533,4.28906646727177,2.4699227474741496,0.9999708770490777,5.399151940490982,4.3100361406168615,25.686596438910506,5.465058043575314,5.28069136406,2.2506771722735253,1.21501604892962,3.209949554863814,2.8589699727233815,3.710508171481735,2.71974170481191,3.900421846110567,5.321116164322744
BACE2,36.83386372248842,5.434883897870881,28.10877498362757,0.9649826857770183,62.70363081372152,0.11999337836171715,1.6100485820975006,32.71128295212292,24.393783589310566,26.59246757099672,31.82204539754286,7.4891779794759366,19.537025209293688,1.8899352986061497,20.048579672518542,4.418857939199647,45.33234713609784,9.845386376064951,20.083351860522296,6.610602545233694,40.05672724892116,83.4004175592508,23.327150061065254,19.815168492580455,17.776739658481496,32.14365625794942,7.179080405338091,23.343325507842803,34.61928830493939,26.574040770908613,35.38238090624859,69.40555416595605
MMP13,0.0,0.0,0.04515149374900681,0.0,0.0,0.007527023677744848,0.0,0.007522080686369343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31607368629516647,0.018806250059503184,0.02256833874626768,0.03010496778376408,0.018806250059503184,0.0,0.0,0.06019722353053646,0.0,0.0,0.03763454951428458,0.0,2.761343545757209
MMP11,2.05589912262034,0.8791919942241904,2.6571755243606763,0.14852178137224722,2.347849303228616,0.9104445438542621,0.3750916529102607,8.256217026615266,2.9311212954122383,1.5939546824053394,6.449301736992095,2.477461711043749,1.226984647612205,0.2579123708685007,0.6720969294490816,0.43373303673184604,3.305748012271203,8.383218341197802,0.4298177698613815,0.7033504826242765,1.7699198410350179,1.9463060805350876,1.8438309986344834,3.6808117790310213,1.6883923033875066,0.820589539805765,11.113307385306795,1.2582529669091966,3.513768449475379,3.008288729136075,2.0163676725761306,51.45701512200508
ADAM12,2.809489585008369,0.07632716921311698,0.8169685335066759,0.022898241372458973,0.25197197077172145,0.0,0.351249365263147,1.1376146081811949,0.14126251676349988,0.1451009342005256,0.19849318914662065,0.09161494437917106,0.32067452990513823,0.030545040402530074,0.6604206004075656,0.022898241372458973,0.23668722432334527,4.299263458915902,0.03818468910851334,0.6336960364186901,0.24053375218210094,0.45808826499484856,0.41610389673811016,0.22523859994827716,0.22140097725400784,0.06871450129130016,0.7100781214461375,0.24438028004085663,0.15648569897220813,0.2748464851953565,2.7478423935893863,5.717987387329878
MMP1,0.0529913845902201,0.007572035779472227,0.2120127863251034,0.022703298911527753,0.026494148201484418,0.1286838781317732,0.0,0.02649686653918712,0.10599723475682238,0.03028499749144108,0.06812950553701927,0.015134126457359716,0.20817546277523905,0.015134126457359716,0.828924817057053,0.007572035779472227,0.022703298911527753,0.01135308111841597,0.09843483674578939,0.015134126457359716,0.060557206927064594,0.3936522261786496,0.09843483674578939,0.7910610588110384,1.1733510690673608,3.2671657260787206,0.1286838781317732,0.04542150268172512,0.015134126457359716,0.03785960662101453,0.03785960662101453,11.977658739205843
HPSE,1.2700316893056665,1.6600025911958518,0.599984629986704,5.501167272558974,1.2500157909148952,0.07999631033958335,0.2800697309446544,2.0999387805303926,0.6199880178431232,0.7000066328306926,3.2706082342311245,0.23000564311170585,0.5850028697053782,0.20495834835914617,2.605299933637398,0.060001985048514034,1.115021188658066,3.709325696752661,0.16999191298781136,1.19002194862203,0.40994009364742534,8.321402132175887,3.370772079221597,1.3950100922425905,4.903564742007465,0.4899849007869231,0.7000066328306926,0.7200144109086911,1.630023020200665,2.829388320653312,0.5899876960796653,2.870889021246871
ADAM10,14.628932095752184,9.644556258219186,35.134018284111264,10.907351445132482,13.503358202584796,52.465864398705676,6.8289630968965795,15.023387089054554,10.979403457871774,12.07320283231066,14.988191021330502,6.411472104658483,5.447378243170475,3.749103410903434,18.110658378916998,4.519263450856451,25.462205836565676,12.425651817976137,5.082754494129344,9.41336580286944,11.64172740898203,12.823710959316962,10.638510571589874,12.921894378335281,12.339733268527409,7.3191617315143525,9.49199692038902,19.410578071886196,16.602088288616958,14.32785724711373,14.199323232034825,23.421814452932093
ADAM17,6.55231277875763,3.718900437015422,5.430065031927745,3.1996812978070515,5.2160624849305055,17.1496607421975,3.2689682236933364,5.513274641655624,3.2689682236933364,4.428823824444892,4.681390228434778,2.260567562695075,1.9895484592698625,1.000494628450659,11.930485152703913,2.310488214895925,8.447607071616757,6.509391168128591,1.3594867701216626,2.948127010983218,3.101179688156107,4.6297503606892665,7.573850296627209,4.422713932401405,4.8381162424659685,2.2449474063342603,7.310761415339665,5.536496692813413,5.1711471455548645,5.498248041038359,6.54323457969979,12.924953025417183
MMP7,0.3589377915522198,0.03989762375418011,13.918442949739347,0.023925438185827298,0.11170316251949149,0.0,0.0,0.1754831414988059,0.06381705657340261,0.07179697891962632,20.014186961645454,0.023925438185827298,35.15841798158284,0.42679855864981886,3.0879212128179163,0.015948810279205698,0.11969419494554083,0.05185527134821287,16.02149394673166,0.06381705657340261,10.342806948354497,90.76070610928082,10.011174214963724,0.17946838193597747,0.11170316251949149,0.1395999416065003,0.6063033147822989,0.11170316251949149,7.904561275277415,0.23935239896934046,19.466876152163206,170.89920483577296
MMP16,0.27759023696194046,0.0600372309098573,0.35278426053277945,0.0,1.3584176747311754,0.0075070182991993474,1.088189131979551,0.953136169764967,0.33396626026408976,0.2326571864501252,0.5328470608765149,0.1426303223542822,0.0075070182991993474,0.015004176890684895,0.09005503046046871,0.030024954580352085,0.2964570331288876,0.48406813684443506,0.030024954580352085,0.2701667153099083,0.3602127773629567,0.20258358452925188,0.21019233307396312,0.15761768299878237,0.10508708677013896,0.07502755794950136,0.2852171737924992,0.24021925366164096,0.48782181043078127,0.2926460835840047,0.46532125076626674,0.34526869499671486
ST14,1.9943041447666743,2.6208421213319895,17.177123074833546,1.8363407304916268,0.7809230830560137,0.049846649079053035,0.3157150794511908,0.6687496124977135,3.550832888781175,1.5202389814357984,3.7455208195592355,0.2659055895794913,25.852723044879752,1.6862794600419768,17.3267312666328,0.08305015824989775,0.7227301192244899,0.2824857034565059,17.093976999759583,17.64782373521936,19.568177936525434,42.149916225295605,29.75264651295883,69.07260874159186,7.484248395404365,17.088284335586565,1.0633817785667241,27.34949845264282,0.6978407967013033,39.46374385160265,10.938755679444588,70.88799331358486
FAP,6.4538755899485585,0.2668722766328221,1.1662633029536422,0.03812217324553279,13.461381266776408,0.015239085722750916,0.7736929125618971,11.583381602277564,2.8470162345699563,3.7038849285183937,2.728169191259388,0.7393603370799571,0.4802135292375385,0.20575527955685843,5.312098807911844,1.2272595317038197,3.030328255208478,1.7072711070390214,1.2043237862847567,0.8308806870163292,1.9322333001940382,5.852886383815259,5.744366679439437,0.998529663550265,0.5831019892258477,0.6517201519129758,1.9288836775076919,4.132658282413203,38.4744037260956,6.050919626834121,9.641262616101702,12.451501635124929
PLAU,20.586787870010404,2.5109830392922183,7.343908049684703,0.9895694900753703,12.51088754920107,7.631961436006539,0.4850067267313953,4.61143771989194,4.814966846397709,6.9092941355466335,7.187772055571446,3.411416445509591,13.868502567650943,0.5280166084265734,15.63415645867766,2.561986040180927,6.653124948550689,0.7587597555668041,1.5253729249270758,1.4080517760672797,5.475545061076889,8.17695470886348,9.808882446766304,6.077660057099542,26.578434727083703,3.9351398268748996,0.7665916802031205,12.317264969775042,7.255546746109015,11.476440354749665,10.278742480612857,32.55183549840155
